Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
1,M015,P.S. 15 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,6/18/2019,11/19/2019,8/30/2019,76269,108074.00,108074.00,"DSF0000798463, DSF0000912540"
1,M015,P.S. 15 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,9/6/2019,2/11/2020,1/30/2020,372960,511537.00,497646.00,"DSF0000798463, DSF0000912540"
1,M015,P.S. 15 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Construction,In-Progress,5/3/2021,5/2/2023,,7666299,7194648.00,6647399.00,"DSF0000798463, DSF0000912540"
1,M015,P.S. 15 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,"CM,F&E",In-Progress,5/3/2021,5/2/2023,,596773,337299.00,329309.00,"DSF0000798463, DSF0000912540"
1,M015,M094 SPED - MANHATTAN,SCA Furniture & Equipment,FY23 RESO A MOBILE SCIENCE LAB,F&E,Complete,5/1/2023,,10/4/2023,75000,75000.00,75000.00,DSF0001035619
1,M015,M094 SPED - MANHATTAN,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,11/27/2023,DIIR,3/13/2024,DIIR,70000.00,70000.00,DSF0001035620
1,M015,P.S. 15 - MANHATTAN,DOE - RESOA,FY24 RESO A BATHROOM UPGRADES,Construction,PNS,PNS,PNS,PNS,DOER,195734.00,,DSF0001086173
1,M015,P.S. 15 - MANHATTAN,DOE - Skilled Trades,SCHOOLYARD RESURFACING,Construction,In-Progress,2/19/2024,DOES,,DOES,407270.00,,DSF0001017369
1,M015,P.S. 15 - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,10/18/2023,DOES,11/15/2023,DOES,65832.00,,DSF0001084185
1,M019,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,4/13/2021,9/13/2021,7/1/2021,68660,67746.00,67746.00,"DSF0001008800, DSF0000991942"
1,M019,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,7/6/2021,12/7/2021,11/29/2021,343300,350175.00,282273.00,"DSF0001008800, DSF0000991942"
1,M019,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Construction,In-Progress,7/18/2022,7/16/2024,,7724250,7073500.00,2685395.00,"DSF0001008800, DSF0000991942"
1,M019,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,"CM,F&E",In-Progress,7/18/2022,7/16/2024,,480620,122957.00,122957.00,"DSF0001008800, DSF0000991942"
1,M019,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,6/22/2023,10/23/2023,7/6/2023,5388,1410.00,1410.00,DSF0001035045
1,M019,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,7/6/2023,1/3/2024,12/13/2023,24247,5643.00,5643.00,DSF0001035045
1,M019,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,PNS,PNS,PNS,PNS,312513,312513.00,107.00,DSF0001035045
1,M019,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",PNS,PNS,PNS,PNS,62187,62187.00,2038.00,DSF0001035045
1,M019,P.S. 19 - MANHATTAN,DOE - RESOA,FY22 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,141466.00,,DSF0001035064
1,M019,P.S. 315 - MANHATTAN,DOE - RESOA,FY24 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,65000.00,,DSF0001086175
1,M019,P.S. 315 - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,In-Progress,3/27/2024,DOES,,DOES,65832.00,,DSF0001084187
1,M020,P.S. 20 - MANHATTAN,SCA CIP,ROOFS / WINDOWS / SECURITY LIGHTING / EXTERIOR MASONRY / PARAPETS,Scope,Complete,5/26/2021,10/12/2021,1/21/2022,124674,160625.00,160625.00,"DSF0000991960, DSF0000991962, DSF0001017426, DSF0001017414, DSF0001017413"
1,M020,P.S. 20 - MANHATTAN,SCA CIP,ROOFS / WINDOWS / SECURITY LIGHTING / EXTERIOR MASONRY / PARAPETS,Design,Complete,1/21/2022,6/22/2022,5/10/2022,613841,518575.00,479736.00,"DSF0000991960, DSF0000991962, DSF0001017426, DSF0001017414, DSF0001017413"
1,M020,P.S. 20 - MANHATTAN,SCA CIP,ROOFS / WINDOWS / SECURITY LIGHTING / EXTERIOR MASONRY / PARAPETS,Construction,In-Progress,9/19/2022,6/9/2024,,12987707,12069024.00,6861738.00,"DSF0000991960, DSF0000991962, DSF0001017426, DSF0001017414, DSF0001017413"
1,M020,P.S. 20 - MANHATTAN,SCA CIP,ROOFS / WINDOWS / SECURITY LIGHTING / EXTERIOR MASONRY / PARAPETS,"CM,F&E",In-Progress,9/19/2022,6/9/2024,,944133,223804.00,190189.00,"DSF0000991960, DSF0000991962, DSF0001017426, DSF0001017414, DSF0001017413"
1,M020,P.S. 20 - MANHATTAN,DOE - RESOA,FY19 RESO A HYDROPONICS LAB,Construction,In-Progress,3/22/2019,DOER,,DOER,162518.00,162518.00,DSF0000890659
1,M020,P.S. 20 - MANHATTAN,DOE - Skilled Trades,BATHROOM UPGRADES,Construction,In-Progress,7/7/2021,DOES,,DOES,195021.00,6911.00,DSF0001008690
1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Scope,Complete,4/22/2021,9/7/2021,12/21/2021,195550,193921.00,191326.00,"DSF0000961144, DSF0001017428"
1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Design,Complete,12/22/2021,6/10/2022,9/16/2022,977750,538296.00,413164.00,"DSF0000961144, DSF0001017428"
1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Construction,In-Progress,8/7/2023,8/5/2025,,21999375,19894186.00,194836.00,"DSF0000961144, DSF0001017428"
1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,"CM,F&E",In-Progress,8/7/2023,8/5/2025,,1368850,103021.00,102413.00,"DSF0000961144, DSF0001017428"
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Scope,In-Progress,3/5/2024,6/3/2024,,0,6371.00,606.00,DSF0001086176
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,6000,6000.00,2424.00,DSF0001086176
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,88000,88000.00,0.00,DSF0001086176
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,6000,6000.00,0.00,DSF0001086176
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001087037
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001087037
